0	chr2L	+	7528	9491	7679	9276	3	7528,8228,8667,	8116,8589,9491,	CG11023-RA
1	chr2L	-	9835	18583	11214	17136	9	9835,11409,11778,12285,13519,13682,14932,17052,18260,	11344,11518,12221,12928,13625,14874,15711,17212,18583,	CG2671-RC
2	chr2L	-	9835	21372	11214	19944	9	9835,11409,11778,12285,13519,13682,14932,19884,21135,	11344,11518,12221,12928,13625,14874,15711,20020,21372,	CG2671-RB
3	chr2L	-	9835	21372	11214	15648	10	9835,11409,11778,12285,13519,13682,14932,19879,21065,21348,	11344,11518,12221,12928,13625,14874,15711,20020,21200,21372,	CG2671-RF
4	chr2L	-	9835	21372	11214	15648	9	9835,11409,11778,12285,13519,13682,14932,19879,21065,	11344,11518,12221,12928,13625,14874,15711,20015,21372,	CG2671-RE
5	chr2L	-	9835	18583	11214	17136	10	9835,11409,11778,12285,13519,13682,14932,17052,18025,18260,	11344,11518,12221,12928,13625,14874,15711,17212,18168,18583,	CG2671-RA
6	chr2L	-	9835	21372	11214	15648	9	9835,11409,11778,12285,13519,13682,14932,19879,21065,	11344,11518,12221,12928,13625,14874,15711,20020,21372,	CG2671-RD
7	chr2L	-	21918	25151	21918	25151	5	21918,22742,22993,23928,24746,	22687,22935,23873,24210,25151,	CG2657-RB
8	chr2L	-	25401	59242	26520	58150	13	25401,26765,27052,28410,28732,28981,33844,34557,34719,38534,39300,58080,59189,	26688,26964,27490,28639,28926,29068,34288,34604,35212,38731,39857,58182,59242,	CG31973-RE
9	chr2L	-	25401	59242	26520	58150	14	25401,26765,27052,28014,28732,28981,30393,33844,34557,34719,38534,39300,58080,59189,	26688,26964,27490,28240,28926,29068,33270,34288,34604,35212,38731,39857,58182,59242,	CG31973-RB
10	chr2L	-	25401	59242	26520	58150	14	25401,26765,27052,28014,28732,28981,33844,34557,34719,35745,38534,39300,58080,59189,	26688,26964,27490,28240,28926,29068,34288,34604,35212,38088,38731,39857,58182,59242,	CG31973-RD
11	chr2L	-	25401	59242	26520	58150	13	25401,26765,27052,28014,28732,28981,33844,34557,34719,38534,39300,58080,59189,	26688,26964,27490,28240,28926,29068,34288,34604,35212,38731,39857,58182,59242,	CG31973-RA
12	chr2L	+	67043	71390	67624	70895	5	67043,67568,67891,68084,70606,	67507,67762,68023,70549,71390,	CG11371-RB
13	chr2L	+	72387	76203	72602	76098	3	72387,74902,75077,	72977,75018,76203,	CG11372-RA
14	chr2L	+	76445	77639	76445	77639	1	76445,	77639,	CG11374-RB
15	chr2L	-	82455	87382	83267	87092	2	82455,87019,	84277,87382,	CG11450-RB
16	chr2L	+	94751	102086	94851	101918	12	94751,94988,95131,95353,97883,98526,99784,100571,100761,101015,101248,101875,	94892,95070,95301,97833,98470,99723,100516,100703,100942,101194,101619,102086,	CG11376-RA
17	chr2L	+	102381	104146	102458	103763	3	102381,103005,103515,	102906,103434,104146,	CG11377-RA
18	chr2L	-	103961	106718	104472	106642	5	103961,105004,105390,105511,105968,	104947,105336,105455,105909,106718,	CG12178-RA
19	chr2L	+	106902	114432	108685	113542	8	106902,107764,108587,110405,110754,111906,112689,113433,	107000,107838,108809,110483,110877,112019,113369,114432,	CG2674-RE
20	chr2L	+	107759	114432	108685	112741	8	107759,108587,110405,110754,111004,111906,112689,113433,	107838,108809,110483,110877,111117,112019,113369,114432,	CG2674-RB
21	chr2L	+	107759	114432	108685	113542	7	107759,108587,110405,110754,111906,112689,113433,	107838,108809,110483,110877,112019,113369,114432,	CG2674-RA
22	chr2L	+	107925	114432	108685	113542	7	107925,108587,110405,110754,111004,112689,113433,	108101,108809,110483,110877,111117,113369,114432,	CG2674-RC
23	chr2L	+	107925	114432	108685	113542	7	107925,108587,110405,110754,111906,112689,113433,	108226,108809,110483,110877,112019,113369,114432,	CG2674-RH
24	chr2L	+	107925	114432	108685	113542	7	107925,108587,110405,110754,111906,112689,113433,	108101,108809,110483,110877,112019,113369,114432,	CG2674-RD
25	chr2L	+	108088	114433	108685	113542	7	108088,108587,110405,110754,111906,112689,113433,	108346,108809,110483,110877,112019,113369,114433,	CG2674-RI
26	chr2L	+	108088	114433	108685	113542	7	108088,108587,110405,110754,111906,112689,113433,	108226,108809,110483,110877,112019,113369,114433,	CG2674-RF
27	chr2L	+	108093	114433	108685	113542	7	108093,108587,110405,110754,111004,112689,113433,	108226,108809,110483,110877,111117,113369,114433,	CG2674-RJ
28	chr2L	+	109607	114432	109750	113542	6	109607,110405,110754,111004,112689,113433,	109793,110483,110877,111117,113369,114432,	CG2674-RG
29	chr2L	-	115712	116117	115712	116117	1	115712,	116117,	CG13694-RA
30	chr2L	-	117078	120742	117330	120032	11	117078,117819,118135,118360,118930,119133,119287,119430,119827,120167,120420,	117759,118076,118304,118874,119076,119235,119375,119554,120080,120364,120742,	CG4822-RC
31	chr2L	-	117078	120742	119426	120032	9	117078,117819,118135,118360,118930,119133,119287,119827,120420,	117759,118076,118304,118874,119076,119235,119554,120080,120742,	CG4822-RH
32	chr2L	-	117078	121751	117330	120032	10	117078,117819,118135,118360,118930,119133,119287,119430,119827,121632,	117759,118076,118304,118874,119076,119235,119375,119554,120080,121751,	CG4822-RA
33	chr2L	-	117078	120742	117330	120032	10	117078,117819,118135,118360,118930,119133,119287,119430,119827,120510,	117759,118076,118304,118874,119076,119235,119375,119554,120265,120742,	CG4822-RE
34	chr2L	-	117078	121974	117330	120032	9	117078,117819,118135,118360,118930,119133,119287,119430,119827,	117759,118076,118304,118874,119076,119235,119375,119554,121974,	CG4822-RB
35	chr2L	-	117078	120742	117330	120032	9	117078,117819,118135,118360,118930,119133,119287,119430,119827,	117759,118076,118304,118874,119076,119235,119375,119554,120742,	CG4822-RF
36	chr2L	-	117078	120742	117330	120032	10	117078,117819,118135,118360,118930,119133,119287,119430,119827,120420,	117759,118076,118304,118874,119076,119235,119375,119554,120080,120742,	CG4822-RD
37	chr2L	-	117078	120742	119269	120032	9	117078,117819,118135,118360,118930,119133,119430,119827,120420,	117759,118076,118304,118874,119076,119375,119554,120080,120742,	CG4822-RG
38	chr2L	-	122614	130791	123128	130551	9	122614,123080,123693,123855,124086,125076,126109,128799,130507,	122994,123629,123794,124024,124920,125266,126227,128942,130791,	CG3164-RA
39	chr2L	-	122614	129241	123128	128983	7	122614,123693,123855,124086,125076,126109,128799,	123629,123794,124024,124920,125266,126227,129241,	CG3164-RD
